,is_ingrediente
aceite,True
sal,True
gramos,False
agua,True
hasta_que,False
un_poco,False
si,False
cebolla,True
salsa,True
pizca,False
receta,False
bien,False
leche,True
hacer,False
mezcla,False
minutos,False
ajo,True
preparar,False
azúcar,True
harina,True
carne,True
masa,True
añade,False
queso,True
puedes,False
pimienta,True
luego,False
esta_receta,False
horno,False
crema,True
pollo,True
mantequilla,True
ingredientes,False
limón,True
arroz,True
tomate,True
una_vez,False
plato,False
huevo,True
pasta,True
paso,False
al_gusto,False
taza,False
sabor,False
cocinar,False
agregar,False
caldo,False
servir,False
oliva,True
agrega,False
cucharadita,False
fuego,False
los_ingredientes,False
cocina,False
chocolate,True
durante_minutos,False
caliente,False
así,False
truco,False
pan,True
añadir,False
unos_minutos,False
preparación,False
forma,False
añadimos,False
verduras,True
una_sartén,False
pescado,True
cucharadas,False
polvo,False
todos_los,False
tiempo,False
al_horno,False
mililitros,False
ensalada,True
coloca,False
fácil,False
molde,False
a_continuación,False
cocción,False
ponemos,False
unidades,False
chorro,False
deja,False
dientes,False
unidad,False
relleno,False
una_olla,False
trozos,False
cucharada,False
quede,False
además,False
base,False
tarta,False
corta,False
sartén,False
sirve,False
vaso,False
junto_con,False
rodajas,False
dulce,False
jugo,True
huevos,True
zanahoria,True
perejil,True
poner,False
cerdo,True
postre,False
mezclar,False
recetasgratis,False
dos,False
mitad,False
los_huevos,True
cada,False
atún,True
encima,False
un_bol,False
a_fuego_medio,False
naranja,True
gr,False
vainilla,True
vinagre,True
g,False
después,False
zumo,False
hora,False
reserva,False
vez,False
cortar,False
cucharadas_soperas,False
patatas,True
maíz,True
toda,False
mientras,False
muy_bien,False
las_patatas,True
disfrutar,True
jamón,True
cómo_hacer,False
canela,True
nata,False
dejamos,False
grande,False
lleva,False
olla,False
colocar,False
listo,False
tazas,False
momento,False
puré,False
manzana,True
ayuda,False
dejar,False
sal_pimienta,True
prepara,False
las_verduras,True
champiñones,True
se_puede,False
vamos_a,False
vierte,False
el_resto,False
galletas,False
solo,False
cuando_esté,False
pon,False
por_encima,False
si_quieres,False
agregamos,False
unas,False
elaborar,False
lata,False
a_ºc,False
para_ello,False
vino_blanco,True
calabaza,True
aparte,False
cucharada_sopera,False
retira,False
diente,False
nevera,False
colocamos,False
un_recipiente,False
laurel,True
aproximadamente,False
podemos,False
sigue_leyendo,False
ahora,False
aguacate,True
hornear,False
primero,False
mayonesa,True
previamente,False
casa,False
calentar,False
½,False
recetas,False
hojas,True
acompañar,False
disfruta,True
comer,False
truco_si,False
gelatina,True
coco,True
delicioso,False
también_puedes,False
cortamos,False
aunque,False
siempre,False
pastel,False
miel,True
avena,True
parte,False
realizar,False
papel,False
orégano,True
garbanzos,True
retirar,False
lechuga,False
suave,False
mejor,False
punto,False
entonces,False
incorpora,False
trozo,False
vino,True
sabores,False
tortilla,True
manteca,False
tiras,False
espinacas,True
un_toque,False
sopa,False
gambas,False
los_ajos,True
recetasgratisnet,False
cantidad,False
sofrito,True
cocer,False
por_último,False
calabacín,False
utilizar,False
para_empezar,False
frutas,True
½_taza,False
piel,False
opcional,False
bacalao,False
centro,False
picado,False
los_tomates,True
durante_unos,False
licuadora,False
reservamos,False
cucharada_postre,False
piña,True
calienta,False
a_hervir,False
una_fuente,False
tradicional,False
a_fuego_lento,False
queso_rallado,True
cortado,False
color,False
papa,True
saludable,True
se_trata,False
plancha,False
fría,False
de_pimienta_negra,True
thermomix,False
bizcocho,False
lomo,False
pimiento,True
lista,False
batir,False
esencia,False
platos,False
ligeramente,False
plátano,False
día,False
deliciosa,False
fruta,True
tapa,False
soja,True
cilantro,True
debes,False
fondo,False
grandes,False
salmón,True
pela,False
freír,False
pimentón,True
este_plato,False
con_nosotros,False
pues,False
reservar,False
cualquier,False
remueve,False
llevar,False
las_hojas,True
rama,False
casera,False
hoja,True
mostaza,True
cubrir,False
tipo,False
bate,False
una_cuchara,False
para_evitar,False
brócoli,True
almendras,True
pica,False
queso_crema,True
hasta_obtener,False
puñado,False
gusto,False
no_te_pierdas,False
textura,False
comino,True
dentro,False
lo_primero,False
frío,False
un_par,False
pizza,False
patata,True
fresas,True
líquido,False
puerro,False
rápida,False
pan_rallado,True
sencilla,False
flan,False
velocidad,False
cubre,False
manera,False
decorar,False
ternera,False
microondas,False
medio,False
superficie,False
coliflor,True
batidora,False
res,False
mermelada,True
tan,False
litro,False
puede,False
apio,False
chorizo,True
hojaldre,True
un_chorrito,False
una_cazuela,False
rico,False
casero,False
setas,False
descubre,False
comida,False
es_necesario,False
grasa,False
las_papas,True
maicena,False
comparte,False
piezas,False
las_yemas,True
queden,False
ml,False
todas_las,False
cocido,False
perejil_picado,True
menos,False
recetasgratis_te_enseñamos,False
tomillo,False
ideal_para,False
caramelo,False
berenjena,True
las_claras,False
cucharaditas,False
podrás,False
trigo,True
hervir,False
cubos,False
tortillas,True
verdura,True
probar,False
adiciona,False
picada,False
molida,False
horas,False
queda,False
cazuela,False
torta,False
agua_fría,True
vuelta,False
especial,False
verde,False
quieres,False
alistar_todos_los,False
sigue,False
pequeños,False
cortada,False
langostinos,False
puedes_añadir,False
bacon,True
puedes_utilizar,False
mezclamos,False
pechuga,False
pelar,False
temperatura,False
seguir,False
tener,False
extra,False
postres,False
yogur,True
lava,False
ralladura,False
por_otro_lado,False
muy_fácil,False
resultado,False
ser,False
tomates,True
consistencia,False
papas,True
paquete,False
tienes_algún_comentario,False
láminas,False
un_poquito,False
finamente,False
en_esta_ocasión,False
primer_paso_para,False
recuerda_que,False
dulces,False
es_ideal,False
cena,False
por_completo,False
una_capa,False
en_este_caso,False
mano,False
almíbar,False
rallado,False
rellenos,False
te_gusta,False
las_manos,False
una_bandeja,False
kg,False
un_buen,False
mango,True
helado,False
elaboración,False
utiliza,False
los_pimientos,True
un_tenedor,False
levadura,False
rebanadas,False
café,False
tres,False
ajos,True
más_recetas,False
puedes_usar,False
usar,False
hacerlo,False
arroz_blanco,True
incorporar,False
cuenta,False
con_cuidado,False
picar,False
si_deseas,False
finalmente,False
se_cocine,False
espesa,False
mismo,False
lado,False
baja,False
guiso,False
lavar,False
mas,False
exceso,False
pimiento_rojo,True
personas,False
hierva,False
fresa,True
picante,False
lonchas,False
nueces,False
pelamos,False
hecho,False
por_ejemplo,False
batido,False
servimos,False
cocidas,False
seco,False
minuto,False
albahaca,False
se_pueden,False
del_fuego,False
formar,False
cebolla_blanca,True
este_paso,False
blanco,False
cortadas,False
aderezo,False
ello,False
kilogramo,False
rápido,False
adicionar,False
picados,False
pasas,False
fresco,False
rellenar,False
guisantes,False
los_bordes,False
primer_paso_es,False
media,False
pimiento_verde,True
semillas,True
quinoa,True
conseguir,False
un_cazo,False
una_cacerola,False
pulpa,False
cocida,False
empieza,False
remover,False
lasaña,False
cáscara,False
te_guste,False
a_fuego_bajo,True
cebolla_picada,True
trocitos,False
pasado,False
espolvorea,False
echar,False
rica,False
sazonar,False
fina,False
jengibre,True
cocidos,False
vegana,False
no_tienes,False
aceitunas,True
los_filetes,False
mesa,False
se_pone,False
de_leche_condensada,True
haz,False
dorar,False
este_delicioso,False
girasol,False
limones,True
navidad,False
las_semillas,True
debe,False
original,False
demasiado,False
perfecto_para,False
bechamel,False
espolvorear,False
